id,title,description
fb_0,The Voice of China 中国好声音,"Verified Facebook page ""The Voice of China 中国好声音""; dataset category: tvshow; source Facebook ID: 145647315578475; encoded description features: 8."
fb_1,U.S. Consulate General Mumbai,"Verified Facebook page ""U.S. Consulate General Mumbai""; dataset category: government; source Facebook ID: 191483281412; encoded description features: 4."
fb_2,ESET [page 2],"Verified Facebook page ""ESET""; dataset category: company; source Facebook ID: 144761358898518; encoded description features: 24."
fb_3,Consulate General of Switzerland in Montreal,"Verified Facebook page ""Consulate General of Switzerland in Montreal""; dataset category: government; source Facebook ID: 568700043198473; encoded description features: 8."
fb_4,Mark Bailey MP - Labor for Miller,"Verified Facebook page ""Mark Bailey MP - Labor for Miller""; dataset category: politician; source Facebook ID: 1408935539376139; encoded description features: 7."
fb_5,Victor Dominello MP,"Verified Facebook page ""Victor Dominello MP""; dataset category: politician; source Facebook ID: 134464673284112; encoded description features: 9."
fb_6,Jean-Claude Poissant,"Verified Facebook page ""Jean-Claude Poissant""; dataset category: politician; source Facebook ID: 282657255260177; encoded description features: 26."
fb_7,Deputado Ademir Camilo,"Verified Facebook page ""Deputado Ademir Camilo""; dataset category: politician; source Facebook ID: 239338246176789; encoded description features: 9."
fb_8,T.C. Mezar-ı Şerif Başkonsolosluğu,"Verified Facebook page ""T.C. Mezar-ı Şerif Başkonsolosluğu""; dataset category: government; source Facebook ID: 544818128942324; encoded description features: 8."
fb_9,Army ROTC Fighting Saints Battalion,"Verified Facebook page ""Army ROTC Fighting Saints Battalion""; dataset category: government; source Facebook ID: 285155655705; encoded description features: 11."
fb_10,NASA Student Launch,"Verified Facebook page ""NASA Student Launch""; dataset category: government; source Facebook ID: 295294787190810; encoded description features: 7."
fb_11,Eliziane Gama,"Verified Facebook page ""Eliziane Gama""; dataset category: politician; source Facebook ID: 837707072929819; encoded description features: 25."
fb_12,Socialstyrelsen,"Verified Facebook page ""Socialstyrelsen""; dataset category: government; source Facebook ID: 189778427932; encoded description features: 22."
fb_13,Brisbane Water LAC - NSW Police Force,"Verified Facebook page ""Brisbane Water LAC - NSW Police Force""; dataset category: government; source Facebook ID: 153345494745119; encoded description features: 4."
fb_14,NASA's Marshall Space Flight Center,"Verified Facebook page ""NASA's Marshall Space Flight Center""; dataset category: government; source Facebook ID: 374623305761; encoded description features: 23."
fb_15,Municipio de Lomas de Zamora,"Verified Facebook page ""Municipio de Lomas de Zamora""; dataset category: government; source Facebook ID: 135948233146402; encoded description features: 10."
fb_16,Die Techniker (TK),"Verified Facebook page ""Die Techniker (TK)""; dataset category: company; source Facebook ID: 218961468129322; encoded description features: 9."
fb_17,Digvijaya Singh,"Verified Facebook page ""Digvijaya Singh""; dataset category: politician; source Facebook ID: 603089303044139; encoded description features: 20."
fb_18,1st Armored Division Sustainment Brigade,"Verified Facebook page ""1st Armored Division Sustainment Brigade""; dataset category: government; source Facebook ID: 107219255341; encoded description features: 7."
fb_19,Shapeways,"Verified Facebook page ""Shapeways""; dataset category: company; source Facebook ID: 288891469878; encoded description features: 22."
fb_20,Françoise Guégot,"Verified Facebook page ""Françoise Guégot""; dataset category: politician; source Facebook ID: 200750393327673; encoded description features: 24."
fb_21,Hydro Coco,"Verified Facebook page ""Hydro Coco""; dataset category: company; source Facebook ID: 312378712151391; encoded description features: 10."
fb_22,Embassy of the Netherlands in Uganda,"Verified Facebook page ""Embassy of the Netherlands in Uganda""; dataset category: government; source Facebook ID: 197257747038268; encoded description features: 9."
fb_23,Ford Danmark,"Verified Facebook page ""Ford Danmark""; dataset category: company; source Facebook ID: 121925517901889; encoded description features: 7."
fb_24,Schweppes Australia,"Verified Facebook page ""Schweppes Australia""; dataset category: company; source Facebook ID: 127122004049986; encoded description features: 25."
fb_25,TalkTalk,"Verified Facebook page ""TalkTalk""; dataset category: company; source Facebook ID: 9615015947; encoded description features: 22."
fb_26,National Institute of General Medical Sciences,"Verified Facebook page ""National Institute of General Medical Sciences""; dataset category: government; source Facebook ID: 136577286212; encoded description features: 23."
fb_27,Poppy Cat,"Verified Facebook page ""Poppy Cat""; dataset category: tvshow; source Facebook ID: 220206968012871; encoded description features: 25."
fb_28,Tahiti Tourisme [page 28],"Verified Facebook page ""Tahiti Tourisme""; dataset category: company; source Facebook ID: 77064798220; encoded description features: 9."
fb_29,Marriott Rewards,"Verified Facebook page ""Marriott Rewards""; dataset category: company; source Facebook ID: 314467271901260; encoded description features: 6."
fb_30,TeleCentro,"Verified Facebook page ""TeleCentro""; dataset category: company; source Facebook ID: 239470792802382; encoded description features: 5."
fb_31,Ministerio de Comunicaciones de la República Argentina,"Verified Facebook page ""Ministerio de Comunicaciones de la República Argentina""; dataset category: government; source Facebook ID: 1087372227969105; encoded description features: 6."
fb_32,Policía Nacional de los Colombianos,"Verified Facebook page ""Policía Nacional de los Colombianos""; dataset category: government; source Facebook ID: 115144905195604; encoded description features: 8."
fb_33,Lance Gooden,"Verified Facebook page ""Lance Gooden""; dataset category: politician; source Facebook ID: 139151419572310; encoded description features: 25."
fb_34,Ivan ŠTEFANEC,"Verified Facebook page ""Ivan ŠTEFANEC""; dataset category: politician; source Facebook ID: 324560137683033; encoded description features: 8."
fb_35,Omoda [page 35],"Verified Facebook page ""Omoda""; dataset category: company; source Facebook ID: 115178951868510; encoded description features: 8."
fb_36,Sunrun,"Verified Facebook page ""Sunrun""; dataset category: company; source Facebook ID: 334483838309; encoded description features: 25."
fb_37,NCBI - National Center for Biotechnology Information,"Verified Facebook page ""NCBI - National Center for Biotechnology Information""; dataset category: government; source Facebook ID: 367794192480; encoded description features: 7."
fb_38,T.C. Niamey Büyükelçiliği/ Ambassade de Turquie à Niamey,"Verified Facebook page ""T.C. Niamey Büyükelçiliği/ Ambassade de Turquie à Niamey""; dataset category: government; source Facebook ID: 312747342102625; encoded description features: 8."
fb_39,Tennessee Secretary of State,"Verified Facebook page ""Tennessee Secretary of State""; dataset category: government; source Facebook ID: 403071946500795; encoded description features: 24."
fb_40,張宏陸,"Verified Facebook page ""張宏陸""; dataset category: politician; source Facebook ID: 180099508994152; encoded description features: 7."
fb_41,Nuevo León Extraordinario,"Verified Facebook page ""Nuevo León Extraordinario""; dataset category: government; source Facebook ID: 30577197161; encoded description features: 8."
fb_42,Honey Bunches of Oats,"Verified Facebook page ""Honey Bunches of Oats""; dataset category: company; source Facebook ID: 57816252527; encoded description features: 23."
fb_43,St. Cloud VA Health Care System,"Verified Facebook page ""St. Cloud VA Health Care System""; dataset category: government; source Facebook ID: 216178818416755; encoded description features: 24."
fb_44,APB FOX,"Verified Facebook page ""APB FOX""; dataset category: tvshow; source Facebook ID: 1507698529534072; encoded description features: 8."
