reviewer_id,example_id,blind_label,correctness_1_to_5,completeness_1_to_5,abstention_appropriate_yes_no_na,notes
,eight_eval_direct_01,A,,,,
,eight_eval_direct_01,B,,,,
,eight_eval_direct_01,C,,,,
,eight_eval_direct_01,D,,,,
,eight_eval_direct_01,E,,,,
,eight_eval_direct_01,F,,,,
,eight_eval_direct_01,G,,,,
,eight_eval_direct_01,H,,,,
,eight_eval_direct_02,A,,,,
,eight_eval_direct_02,B,,,,
,eight_eval_direct_02,C,,,,
,eight_eval_direct_02,D,,,,
,eight_eval_direct_02,E,,,,
,eight_eval_direct_02,F,,,,
,eight_eval_direct_02,G,,,,
,eight_eval_direct_02,H,,,,
,eight_eval_direct_03,A,,,,
,eight_eval_direct_03,B,,,,
,eight_eval_direct_03,C,,,,
,eight_eval_direct_03,D,,,,
,eight_eval_direct_03,E,,,,
,eight_eval_direct_03,F,,,,
,eight_eval_direct_03,G,,,,
,eight_eval_direct_03,H,,,,
,eight_eval_direct_04,A,,,,
,eight_eval_direct_04,B,,,,
,eight_eval_direct_04,C,,,,
,eight_eval_direct_04,D,,,,
,eight_eval_direct_04,E,,,,
,eight_eval_direct_04,F,,,,
,eight_eval_direct_04,G,,,,
,eight_eval_direct_04,H,,,,
,eight_eval_direct_05,A,,,,
,eight_eval_direct_05,B,,,,
,eight_eval_direct_05,C,,,,
,eight_eval_direct_05,D,,,,
,eight_eval_direct_05,E,,,,
,eight_eval_direct_05,F,,,,
,eight_eval_direct_05,G,,,,
,eight_eval_direct_05,H,,,,
,eight_eval_direct_06,A,,,,
,eight_eval_direct_06,B,,,,
,eight_eval_direct_06,C,,,,
,eight_eval_direct_06,D,,,,
,eight_eval_direct_06,E,,,,
,eight_eval_direct_06,F,,,,
,eight_eval_direct_06,G,,,,
,eight_eval_direct_06,H,,,,
,eight_eval_direct_07,A,,,,
,eight_eval_direct_07,B,,,,
,eight_eval_direct_07,C,,,,
,eight_eval_direct_07,D,,,,
,eight_eval_direct_07,E,,,,
,eight_eval_direct_07,F,,,,
,eight_eval_direct_07,G,,,,
,eight_eval_direct_07,H,,,,
,eight_eval_direct_08,A,,,,
,eight_eval_direct_08,B,,,,
,eight_eval_direct_08,C,,,,
,eight_eval_direct_08,D,,,,
,eight_eval_direct_08,E,,,,
,eight_eval_direct_08,F,,,,
,eight_eval_direct_08,G,,,,
,eight_eval_direct_08,H,,,,
,eight_eval_direct_09,A,,,,
,eight_eval_direct_09,B,,,,
,eight_eval_direct_09,C,,,,
,eight_eval_direct_09,D,,,,
,eight_eval_direct_09,E,,,,
,eight_eval_direct_09,F,,,,
,eight_eval_direct_09,G,,,,
,eight_eval_direct_09,H,,,,
,eight_eval_direct_10,A,,,,
,eight_eval_direct_10,B,,,,
,eight_eval_direct_10,C,,,,
,eight_eval_direct_10,D,,,,
,eight_eval_direct_10,E,,,,
,eight_eval_direct_10,F,,,,
,eight_eval_direct_10,G,,,,
,eight_eval_direct_10,H,,,,
,eight_eval_comparison_01,A,,,,
,eight_eval_comparison_01,B,,,,
,eight_eval_comparison_01,C,,,,
,eight_eval_comparison_01,D,,,,
,eight_eval_comparison_01,E,,,,
,eight_eval_comparison_01,F,,,,
,eight_eval_comparison_01,G,,,,
,eight_eval_comparison_01,H,,,,
,eight_eval_comparison_02,A,,,,
,eight_eval_comparison_02,B,,,,
,eight_eval_comparison_02,C,,,,
